N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
69,HD현대,"55,500",900,+1.65%,"1,000","43,841","78,993",18.32,"201,097",3.90,-1.99,
70,삼성중공업,"4,935",115,-2.28%,"1,000","43,428","880,000",16.61,"4,542,390",-6.14,-36.89,
71,한국항공우주,"43,950","1,600",-3.51%,"5,000","42,840","97,475",25.52,"1,862,156",33.07,5.19,
72,현대제철,"31,650",850,+2.76%,"5,000","42,236","133,446",21.79,"428,396",2.59,8.54,
73,코웨이,"54,900","1,400",+2.62%,500,"40,516","73,800",61.42,"204,771",8.64,27.41,
74,유한양행,"54,800",400,-0.72%,"1,000","40,131","73,231",20.59,"134,520",57.08,5.45,
75,SK아이이테크놀로지,"56,100","2,000",+3.70%,"1,000","39,998","71,298",7.93,"349,840",-83.11,5.57,
76,미래에셋증권,"6,470",280,+4.52%,"5,000","39,811","615,316",12.84,"1,619,778",6.91,11.66,
77,현대건설,"35,700",200,-0.56%,"5,000","39,754","111,356",24.77,"517,317",5.98,5.89,
78,GS,"41,800",100,+0.24%,"5,000","38,839","92,915",25.50,"130,261",1.78,15.55,
79,한국타이어앤테크놀로지,"30,800",250,-0.81%,500,"38,154","123,875",36.31,"244,646",5.25,7.69,
80,금호석유,"128,500","5,000",+4.05%,"5,000","37,669","29,314",21.26,"81,257",3.65,47.76,
81,메리츠증권,"5,960",140,-2.30%,"1,000","36,656","615,041",14.15,"1,556,139",4.97,15.77,
82,TIGER CD금리투자KIS(합성),"51,720",15,+0.03%,0,"35,414","68,472",0.00,"294,806",N/A,N/A,
83,삼성카드,"29,950",750,+2.57%,"5,000","34,700","115,859",6.20,"141,981",5.92,7.53,
84,한화에어로스페이스,"66,800","5,000",-6.96%,"5,000","33,821","50,630",23.72,"1,506,693",18.29,9.21,
85,호텔신라,"85,000","4,300",+5.33%,"5,000","33,361","39,248",19.36,"686,498",70.07,4.51,
86,SKC,"88,000",100,-0.11%,"5,000","33,324","37,868",14.63,"183,842",24.76,11.60,
87,BGF리테일,"192,000","5,500",-2.78%,"1,000","33,185","17,284",32.99,"60,877",17.62,19.61,
88,두산밥캣,"33,050",50,-0.15%,500,"33,132","100,249",29.36,"280,807",6.86,9.19,
89,한미약품,"267,500","3,000",-1.11%,"2,500","32,951","12,318",16.07,"30,622",41.60,8.75,
90,한국금융지주,"57,100","2,200",+4.01%,"5,000","31,820","55,726",36.32,"383,504",4.00,27.12,
91,에스디바이오센서,"30,350",650,+2.19%,500,"31,680","104,383",14.73,"388,938",2.29,72.47,
92,롯데지주,"30,050",300,+1.01%,200,"31,525","104,909",9.55,"107,613",17.99,4.61,
93,KODEX KOFR금리액티브(합성),"101,735",15,+0.01%,0,"30,768","30,243",0.00,"14,854",N/A,N/A,
94,현대미포조선,"74,900","3,200",-4.10%,"5,000","29,917","39,942",20.78,"609,118",111.13,-7.11,
95,삼성증권,"33,400","1,100",+3.41%,"5,000","29,826","89,300",27.13,"552,234",5.37,16.94,
96,NH투자증권,"8,990",130,+1.47%,"5,000","29,817","331,666",12.55,"691,093",7.11,14.77,
97,한국가스공사,"31,500","1,050",-3.23%,"5,000","29,079","92,313",9.88,"705,906",2.46,11.63,
98,아모레G,"35,050","1,650",+4.94%,500,"28,902","82,458",10.18,"384,537",90.57,5.49,
99,TIGER 차이나전기차SOLACTIVE,"11,780",310,+2.70%,0,"28,701","243,640",0.00,"3,146,420",N/A,N/A,
100,GS리테일,"27,350",600,-2.15%,"1,000","28,640","104,718",7.53,"164,458",31.73,25.58,
101,이마트,"101,500","1,500",+1.50%,"5,000","28,294","27,876",29.24,"157,144",3.06,16.25,
102,현대로템,"25,800",800,-3.01%,"5,000","28,159","109,142",6.09,"2,654,139",25.67,5.01,
103,현대차2우B,"77,000",300,+0.39%,"5,000","28,094","36,485",59.98,"37,430",3.44,N/A,
104,팬오션,"5,190",40,-0.76%,"1,000","27,744","534,570",16.42,"3,335,066",3.56,17.16,
105,쌍용C&E,"5,450",100,+1.87%,100,"27,460","503,860",2.46,"789,366",41.60,11.12,
106,씨에스윈드,"63,200","1,400",-2.17%,500,"26,652","42,171",10.81,"341,710",212.08,10.13,
107,롯데쇼핑,"93,900","1,400",+1.51%,"5,000","26,563","28,289",12.25,"71,994",-5.12,-2.94,
108,현대해상,"29,550",500,+1.72%,500,"26,418","89,400",34.77,"338,707",4.85,8.82,
109,포스코인터내셔널,"21,000",450,-2.10%,"5,000","25,909","123,375",8.71,"699,761",4.53,10.86,
110,현대오토에버,"93,600","1,400",-1.47%,500,"25,669","27,424",2.12,"40,674",28.56,7.26,
111,제일기획,"21,950",150,+0.69%,200,"25,252","115,041",33.62,"546,792",12.81,15.58,
112,한화생명,"2,890",170,+6.25%,"5,000","25,101","868,530",6.96,"6,299,079",2.34,10.79,
113,동원산업,"49,500",300,-0.60%,"1,000","24,741","49,983",2.37,"34,260",4.49,12.59,
114,일진머티리얼즈,"52,700",600,-1.13%,500,"24,300","46,111",9.82,"189,803",43.59,7.85,
115,한진칼,"35,600",300,-0.84%,"2,500","23,767","66,762",16.67,"58,281",2.51,1.11,
116,키움증권,"90,400","2,300",+2.61%,"5,000","23,702","26,220",25.37,"115,103",4.68,25.38,
117,CJ,"81,200","1,300",-1.58%,"5,000","23,692","29,177",17.82,"43,909",8.25,5.66,
118,신세계,"230,000","13,500",+6.24%,"5,000","22,644","9,845",25.76,"133,468",7.62,8.54,
119,BNK금융지주,"6,720",170,+2.60%,"5,000","21,903","325,935",35.43,"1,808,265",2.70,8.76,
120,KODEX 200선물인버스2X,"3,305",50,-1.49%,0,"21,896","662,500",4.91,"135,524,478",N/A,N/A,
121,KODEX 종합채권(AA-이상)액티브,"102,255",270,+0.26%,0,"21,773","21,293",0.00,"8,336",N/A,N/A,
122,에스원,"57,200",700,-1.21%,500,"21,736","37,999",53.67,"51,163",17.07,9.13,
123,서울가스,"434,500","1,000",-0.23%,"5,000","21,725","5,000",5.40,"24,471",102.91,0.80,
124,한전기술,"56,400","1,700",+3.11%,200,"21,556","38,220",1.83,"166,224",106.21,3.25,
125,LG화학우,"274,500",500,-0.18%,"5,000","21,106","7,689",70.30,"8,110",9.66,N/A,
126,한미사이언스,"30,650",50,-0.16%,500,"21,033","68,624",1.38,"72,041",42.28,6.37,
127,LS,"64,500","1,700",-2.57%,"5,000","20,769","32,200",13.61,"149,602",5.18,8.15,
128,한솔케미칼,"182,000","3,000",-1.62%,"5,000","20,630","11,335",39.34,"32,237",14.44,23.88,
129,농심,"337,000","1,000",-0.30%,"5,000","20,498","6,083",15.30,"24,237",17.63,4.73,
130,CJ대한통운,"89,300","1,600",+1.82%,"5,000","20,371","22,812",16.60,"56,220",10.10,1.59,
131,휠라홀딩스,"33,450",200,+0.60%,"1,000","20,322","60,752",42.58,"214,073",9.44,16.20,
132,KODEX 레버리지,"13,355",205,+1.56%,0,"20,153","150,900",0.57,"26,947,074",N/A,N/A,
133,TIGER MSCI Korea TR,"12,480",100,+0.81%,0,"20,018","160,400",0.00,"405,982",N/A,N/A,
134,KODEX 200TR,"10,150",85,+0.84%,0,"19,884","195,900",0.09,"417,050",N/A,N/A,
135,한화시스템,"10,450",250,-2.34%,"5,000","19,742","188,919",3.82,"345,090",-217.71,6.04,
136,HL만도,"41,550",100,-0.24%,"1,000","19,511","46,957",23.23,"197,098",9.21,9.31,
137,TIGER 200,"30,290",220,+0.73%,0,"19,370","63,950",3.00,"1,763,804",N/A,N/A,
138,영원무역,"43,350",450,+1.05%,500,"19,209","44,311",30.38,"86,357",3.38,14.71,
139,대우조선해양,"17,900",200,-1.10%,"5,000","19,205","107,291",2.32,"192,939",-1.12,-55.86,
140,두산퓨얼셀,"29,300",800,-2.66%,100,"19,190","65,494",14.48,"240,428",586.00,1.69,
141,대한전선,"1,535",25,+1.66%,100,"19,103","1,244,473",2.25,"5,685,999",59.04,7.78,
142,한화,"25,300",100,-0.39%,"5,000","18,965","74,959",18.00,"152,124",1.82,20.22,
143,TIGER 미국나스닥100,"61,950",75,-0.12%,0,"18,913","30,530",0.13,"49,963",N/A,N/A,
144,OCI,"78,800","2,400",-2.96%,"5,000","18,793","23,849",13.60,"494,861",2.33,23.93,
145,동서,"18,800",100,-0.53%,500,"18,744","99,700",2.87,"65,773",16.94,8.05,
146,현대차우,"76,100",600,+0.79%,"5,000","18,535","24,357",57.58,"24,582",3.40,N/A,
147,KCC,"207,500","5,500",+2.72%,"5,000","18,439","8,886",13.58,"39,221",-6.66,-0.92,
148,GS건설,"21,350",200,+0.95%,"5,000","18,272","85,581",27.99,"991,071",3.65,9.32,
149,오뚜기,"453,000",500,+0.11%,"5,000","18,155","4,008",11.14,"2,762",11.66,8.91,
150,대성홀딩스,"111,000","2,000",+1.83%,"1,000","17,859","16,089",4.80,"145,437",111.67,3.61,
151,DB하이텍,"39,450",350,-0.88%,"5,000","17,515","44,399",25.45,"345,987",2.89,33.35,
152,대웅제약,"150,000","1,000",-0.66%,"2,500","17,380","11,587",7.44,"38,878",21.13,4.39,
153,대우건설,"4,120",15,+0.37%,"5,000","17,124","415,623",12.72,"1,155,135",3.41,16.47,
154,LIG넥스원,"77,800",200,-0.26%,"5,000","17,116","22,000",12.94,"434,534",9.33,14.63,
155,TIGER 미국S&P500,"12,260",25,+0.20%,0,"16,907","137,900",0.34,"518,829",N/A,N/A,
156,하이트진로,"24,100",50,-0.21%,"5,000","16,902","70,134",13.34,"206,661",14.88,6.62,
157,삼천리,"413,500",0,0.00%,"5,000","16,768","4,055",14.34,"34,024",21.10,4.52,
158,JB금융지주,"8,500",240,+2.91%,"5,000","16,744","196,983",29.06,"1,103,617",2.88,12.80,
159,쌍용차,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-2.47,305.77,
160,코스모신소재,"53,200",400,-0.75%,"1,000","16,306","30,651",7.09,"165,389",56.96,9.42,
161,롯데칠성,"167,500","4,500",+2.76%,500,"15,542","9,279",13.17,"30,605",14.13,9.96,
162,효성첨단소재,"335,000","4,000",-1.18%,"5,000","15,008","4,480",5.93,"13,461",8.29,54.69,
163,LS ELECTRIC,"49,500","2,100",-4.07%,"5,000","14,850","30,000",12.35,"306,319",15.13,5.86,
164,녹십자,"126,500",500,+0.40%,"5,000","14,783","11,687",22.09,"25,195",13.62,10.30,
165,한전KPS,"32,350",450,+1.41%,200,"14,558","45,000",5.11,"69,657",22.20,9.12,
166,효성티앤씨,"333,500","8,000",+2.46%,"5,000","14,433","4,328",8.38,"21,646",9.49,76.22,
167,현대두산인프라코어,"7,210",100,-1.37%,"1,000","14,259","197,763",12.17,"4,158,273",3.10,24.63,
168,금양,"24,400",550,-2.20%,500,"14,164","58,050",2.48,"1,936,758",80.53,13.57,
169,롯데정밀화학,"54,800",700,+1.29%,"5,000","14,138","25,800",19.62,"61,383",4.60,30.43,
170,현대백화점,"60,300","2,400",+4.15%,"5,000","14,112","23,402",24.03,"86,676",6.72,4.36,
171,효성,"65,100",200,-0.31%,"5,000","13,717","21,071",3.73,"47,787",11.80,18.04,
172,현대위아,"50,300",400,-0.79%,"5,000","13,679","27,195",10.40,"144,412",6.68,1.96,
173,TIGER 미국필라델피아반도체나스닥,"8,750",135,+1.57%,0,"13,598","155,400",0.10,"588,342",N/A,N/A,
174,현대일렉트릭,"37,500","1,150",-2.98%,"5,000","13,518","36,047",14.43,"625,804",27.53,-5.08,
175,두산,"79,300","1,600",-1.98%,"5,000","13,103","16,524",6.74,"74,551",-16.02,11.08,
176,DL이앤씨,"33,850",0,0.00%,"5,000","13,098","38,694",21.24,"182,370",3.01,N/A,
177,SK케미칼,"75,100",100,+0.13%,"5,000","12,958","17,254",13.88,"62,183",7.05,11.19,
178,한국앤컴퍼니,"13,350",150,+1.14%,500,"12,674","94,935",8.95,"110,753",5.29,5.53,
179,LX인터내셔널,"31,750",550,-1.70%,"5,000","12,306","38,760",29.74,"468,852",2.08,22.49,
180,DGB금융지주,"7,210",190,+2.71%,"5,000","12,195","169,146",44.03,"797,193",2.54,9.63,
181,DL,"58,000",300,+0.52%,"5,000","12,154","20,956",9.37,"23,613",32.75,26.52,
182,TIGER 단기통안채,"102,145",40,+0.04%,0,"12,090","11,836",1.19,"2,768",N/A,N/A,
183,F&F홀딩스,"30,800","2,900",-8.61%,500,"12,047","39,114",0.45,"753,459",10.14,153.88,
184,한미반도체,"12,350",300,-2.37%,100,"12,021","97,339",4.99,"457,554",9.79,34.59,
185,TIGER 미국테크TOP10 INDXX,"8,085",95,-1.16%,0,"11,998","148,400",0.14,"672,363",N/A,N/A,
186,GKL,"19,250",600,+3.22%,500,"11,907","61,856",5.12,"526,337",-24.71,-26.04,
187,LX세미콘,"72,800","3,000",-3.96%,500,"11,840","16,264",27.80,"104,249",4.09,44.49,
188,KBSTAR 200,"30,400",255,+0.85%,0,"11,765","38,700",1.30,"179,861",N/A,N/A,
189,KODEX 삼성그룹,"8,555",25,-0.29%,0,"11,635","136,000",0.48,"458,812",N/A,N/A,
190,더존비즈온,"37,900",100,+0.26%,500,"11,515","30,383",23.06,"65,400",31.66,12.10,
191,현대엘리베이,"28,050",50,+0.18%,"5,000","11,449","40,815",28.90,"80,610",7.99,10.62,
192,코오롱인더,"41,450",100,+0.24%,"5,000","11,407","27,519",17.70,"64,112",7.58,8.20,
193,동원시스템즈,"38,850","1,150",-2.87%,"5,000","11,263","28,991",13.29,"17,058",24.07,6.95,
194,신풍제약,"21,250",450,+2.16%,500,"11,259","52,985",5.43,"243,973",-39.28,-3.19,
195,KODEX 단기채권PLUS,"105,125",75,+0.07%,0,"11,240","10,692",0.00,"1,430,480",N/A,N/A,
196,영풍,"610,000","3,000",-0.49%,"5,000","11,236","1,842",5.10,"2,983",5.01,3.66,
197,제주항공,"14,500",200,+1.40%,"1,000","11,164","76,994",1.68,"611,531",-3.47,-135.83,
198,대웅,"19,050",50,-0.26%,500,"11,076","58,142",4.65,"42,421",8.88,11.13,
199,TIGER 2차전지테마,"16,980",335,-1.93%,0,"11,037","65,000",0.04,"684,520",N/A,N/A,
200,현대건설기계,"55,800","2,900",-4.94%,"5,000","10,993","19,701",17.94,"548,092",11.03,8.92,
